method	path	tier	families	category	summary	where
GET	/ISAPI/System/onlineUpgrade/downloadPackage/status	reference	dvr-pro,dvr-value	Device (General)	Get the online upgrade package downloading progress	dvr-pro:12.1.3.4@p98;dvr-value:12.1.3.4@p100
GET	/ISAPI/System/onlineUpgrade/status	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Get the online upgrade progress of device	anpr:@p48;deepinview:19.1.4.2@p182;dvr-pro:12.1.3.6@p99;dvr-value:12.1.3.6@p101
GET	/ISAPI/System/onlineUpgrade/status/task	reference	deepinview,dvr-pro,dvr-value	Device (General)	Get all of the online upgrade task progress	deepinview:19.1.4.3@p182;dvr-pro:12.1.3.7@p100;dvr-value:12.1.3.7@p102
POST	/ISAPI/System/onlineUpgrade/task	reference	anpr,deepinview,dvr-pro,dvr-value	Device (General)	Apply the task of online upgrade	anpr:12.1.3.1@p100;deepinview:@p55;dvr-pro:12.1.3.8@p101;dvr-value:12.1.3.8@p103
PUT	/ISAPI/System/onlineUpgrade/upgrade	narrative	anpr,deepinview,dvr-pro,dvr-value	Narrative / Quick Start	5. Apply the upgrade task: PUT /ISAPI/System/onlineUpgrade/upgrade?type=<type>&id=<indexID>&channelID =	anpr:@p43;deepinview:@p57;dvr-pro:@p42;dvr-value:@p42
GET	/ISAPI/System/onlineUpgrade/version	reference	dvr-pro,dvr-value	Device (General)	Get the new version information	dvr-pro:12.1.3.9@p102;dvr-value:12.1.3.9@p104
PUT	/ISAPI/System/reboot	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Reboot device	anpr:12.1.5.13@p120;deepinview:19.1.6.10@p213;dvr-pro:12.1.5.14@p125;dvr-value:12.1.5.14@p130;ipc-value:8.1.3.9@p82
GET	/ISAPI/System/status	reference	deepinview,dvr-value,ipc-value	Device (General)	Get device status	deepinview:19.1.6.13@p216;dvr-value:12.1.5.15@p131;ipc-value:8.1.3.12@p85
GET	/ISAPI/System/status/uploadStrategy/capabilities	reference	deepinview	Device (General)	Get the capability of configuring the upload strategy of device status	deepinview:19.1.6.14@p218
GET	/ISAPI/System/time	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Get device time synchronization management parameters	anpr:12.1.7.1@p124;deepinview:19.1.8.1@p221;dvr-pro:12.1.7.1@p126;dvr-value:12.1.7.1@p135;ipc-value:8.1.5.1@p88
PUT	/ISAPI/System/time	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Device (General)	Set device time synchronization management parameters	anpr:12.1.7.2@p124;deepinview:19.1.8.2@p222;dvr-pro:12.1.7.2@p127;dvr-value:12.1.7.2@p136;ipc-value:8.1.5.2@p89
GET	/ISAPI/System/time/NTPService	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	Get the parameters of the NTP server: GET /ISAPI/System/time/NTPService?format=json	anpr:@p38;deepinview:@p49;dvr-pro:@p37;dvr-value:@p37;ipc-value:@p33
