method	path	tier	families	category	summary	where
GET	/ISAPI/Intelligent/AIOpenPlatform/algorithmModel/management	reference	deepinview	AI Open Platform	Search for locally stored algorithm model package	deepinview:19.15.1.3@p847
GET	/ISAPI/Intelligent/AIOpenPlatform/algorithmModel/management/space	reference	deepinview	AI Open Platform	Search for the model package storage space of the device	deepinview:19.15.1.2@p847
GET	/ISAPI/Intelligent/AIOpenPlatform/algorithmModel/progress/{MPID}	reference	deepinview	AI Open Platform	Get the download progress of preset model package	deepinview:19.15.1.4@p849
PUT	/ISAPI/Intelligent/AIOpenPlatform/algorithmModel/update	narrative	deepinview	Narrative / Quick Start	2. Model update: PUT /ISAPI/Intelligent/AIOpenPlatform/algorithmModel/update?format=json. It supports URL	deepinview:@p124
POST	/ISAPI/Intelligent/AIOpenPlatform/algorithmModelBinaryPackets	reference	deepinview	AI Open Platform	Preset the algorithm model in binary form format	deepinview:19.15.1.5@p850
GET	/ISAPI/Intelligent/AIOpenPlatform/capabilities	reference	deepinview	AI Open Platform	Get the AI Open Platform capability supported by the device	deepinview:19.15.1.6@p851
GET	/ISAPI/Intelligent/AIOpenPlatform/historyVideoTask	reference	deepinview	AI Open Platform	Get the history video analysis task	deepinview:19.15.4.2@p861
POST	/ISAPI/Intelligent/AIOpenPlatform/historyVideoTask	narrative	deepinview	Narrative / Quick Start	Create task: POST /ISAPI/Intelligent/AIOpenPlatform/historyVideoTask?format=json.	deepinview:@p135
GET	/ISAPI/Intelligent/AIOpenPlatform/historyVideoTask/capabilities	reference	deepinview	AI Open Platform	Get the configuration capability of the history video analysis tasks	deepinview:19.15.4.1@p860
GET	/ISAPI/Intelligent/AIOpenPlatform/picturePollingAnalysisTask	reference	deepinview	AI Open Platform	Get captured picture polling analysis task	deepinview:19.15.3.2@p857
POST	/ISAPI/Intelligent/AIOpenPlatform/picturePollingAnalysisTask	narrative	deepinview	Narrative / Quick Start	Create task: POST /ISAPI/Intelligent/AIOpenPlatform/picturePollingAnalysisTask?format=json&security=	deepinview:@p134
GET	/ISAPI/Intelligent/AIOpenPlatform/picturePollingAnalysisTask/capabilities	reference	deepinview	AI Open Platform	Get capability of getting capture polling task information	deepinview:19.15.3.1@p853
GET	/ISAPI/Intelligent/AIOpenPlatform/videoTask	reference	deepinview	AI Open Platform	Search for the executing video analysis tasks	deepinview:19.15.4.4@p862
POST	/ISAPI/Intelligent/AIOpenPlatform/videoTask	narrative	deepinview	Narrative / Quick Start	4. Collaborative package task analysis: POST /ISAPI/Intelligent/AIOpenPlatform/videoTask?format=json. When	deepinview:@p127
GET	/ISAPI/Intelligent/AIOpenPlatform/videoTask/capabilities	reference	deepinview	AI Open Platform	Get the capability of getting video analysis task information	deepinview:19.15.4.3@p861
DELETE	/ISAPI/Intelligent/FDLib	reference	deepinview,dvr-pro	Face Capture	Delete all face picture libraries	deepinview:19.8.3.4@p662;dvr-pro:12.8.1.3@p296
GET	/ISAPI/Intelligent/FDLib	reference	deepinview,dvr-pro	Face Capture	Get the information, including library ID, library type, name, and custom information, of all face	deepinview:19.8.3.17@p685;dvr-pro:12.8.1.5@p297
POST	/ISAPI/Intelligent/FDLib	reference	deepinview,dvr-pro,dvr-value	Face Capture	Create a face picture library	deepinview:19.8.3.16@p683;dvr-pro:12.5.3.4@p249;dvr-value:@p68
PUT	/ISAPI/Intelligent/FDLib	reference	deepinview,dvr-pro	Face Capture	Set the face picture library parameters	deepinview:19.8.3.15@p680;dvr-pro:12.8.1.4@p297
PUT	/ISAPI/Intelligent/FDLib/FDModify	narrative	deepinview,dvr-pro,dvr-value	Narrative / Quick Start	ii. Edit face picture data: PUT /ISAPI/Intelligent/FDLib/FDModify?format=json, it is for editing data of	deepinview:@p98;dvr-pro:@p69;dvr-value:@p69
POST	/ISAPI/Intelligent/FDLib/FDSearch	reference	deepinview,dvr-pro,dvr-value	Face Capture	Search face picture data	deepinview:19.8.3.9@p668;dvr-pro:@p69;dvr-value:@p69
PUT	/ISAPI/Intelligent/FDLib/FDSearch	narrative	deepinview,dvr-pro,dvr-value	Narrative / Quick Start	iii. Edit face picture data in the library: PUT /ISAPI/Intelligent/FDLib/FDSearch?format=json&FDID=	deepinview:@p98;dvr-pro:@p69;dvr-value:@p69
PUT	/ISAPI/Intelligent/FDLib/FDSearch/Delete	narrative	deepinview,dvr-pro,dvr-value	Narrative / Quick Start	iv. Delete face picture data in the library: PUT /ISAPI/Intelligent/FDLib/FDSearch/Delete?format=json&FDID=	deepinview:@p98;dvr-pro:@p69;dvr-value:@p69
GET	/ISAPI/Intelligent/FDLib/capabilities	reference	deepinview,dvr-pro,dvr-value	Face Capture	Get face picture library capability	deepinview:19.8.3.8@p665;dvr-pro:12.8.1.1@p294;dvr-value:12.8.1.1@p305
GET	/ISAPI/Intelligent/FDLib/manualModeling	reference	deepinview,dvr-pro,dvr-value	Face Capture	Specify a face picture library to start model the face pictures in a batch	deepinview:19.8.3.10@p672;dvr-pro:@p69;dvr-value:@p69
GET	/ISAPI/Intelligent/FDLib/manualModeling/progressState	narrative	deepinview,dvr-pro,dvr-value	Narrative / Quick Start	iii. Get modeling progress status, GET /ISAPI/Intelligent/FDLib/manualModeling/progressState.	deepinview:@p98;dvr-pro:@p69;dvr-value:@p69
GET	/ISAPI/Intelligent/FDLib/manualModelingRangeTask	narrative	deepinview,dvr-pro,dvr-value	Narrative / Quick Start	ii. Search for modeling control results, GET /ISAPI/Intelligent/FDLib/manualModelingRangeTask;	deepinview:@p98;dvr-pro:@p69;dvr-value:@p69
POST	/ISAPI/Intelligent/FDLib/manualModelingRangeTask	reference	deepinview	Face Capture	Search control results of discrete modeling	deepinview:19.8.3.11@p673
GET	/ISAPI/Intelligent/FDLib/modelingStatus	reference	deepinview	Face Capture	Get the modeling status of a face picture in a specific face picture library	deepinview:19.8.3.12@p674
POST	/ISAPI/Intelligent/FDLib/modelingStatus	reference	deepinview	Face Capture	Search for face pictures by modeling status	deepinview:19.8.3.13@p675
POST	/ISAPI/Intelligent/FDLib/pictureUpload	reference	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Face Capture	Import face pictures and the additional information to a specific face picture library	anpr:@p11;deepinview:19.8.3.14@p677;dvr-pro:@p10;dvr-value:@p10;ipc-value:@p11
POST	/ISAPI/Intelligent/FDLib/searchByPic	narrative	dvr-pro,dvr-value	Narrative / Quick Start	capability is invalid, you can call POST /ISAPI/Intelligent/FDLib/searchByPic?format=json directly.	dvr-pro:@p74;dvr-value:@p74
POST	/ISAPI/Intelligent/FDLib/{FDID}/data	reference	deepinview	Face Capture	Import the face pictures to a specific face picture library	deepinview:19.8.3.5@p663
GET	/ISAPI/Intelligent/FDLib/{FDID}/picture/surplusCapacity	reference	deepinview	Face Capture	Get the number of remaining face pictures in a face picture library	deepinview:19.8.3.7@p665
PUT	/ISAPI/Intelligent/analysisEngines	reference	dvr-value	Algorithm Scheduling	Set the parameters of all analysis engines	dvr-value:12.7.1.1@p304
GET	/ISAPI/Intelligent/capabilities	reference	anpr,deepinview	VCA	Get the intelligent capability	anpr:@p79;deepinview:19.14.1.1@p842
PUT	/ISAPI/Intelligent/channels/{channelID}/Shield/mixedTargetDetection	reference	deepinview	Multi-Target-Type Detection	Set the shielded area parameters of multi-target-detection event	deepinview:19.12.2.16@p828
GET	/ISAPI/Intelligent/channels/{channelID}/Shield/peopleCounting	reference	deepinview	People Counting	Get the shielded area parameters of people counting event	deepinview:19.5.1.8@p471
PUT	/ISAPI/Intelligent/channels/{channelID}/Shield/peopleCounting	reference	deepinview	People Counting	Set the shielded area parameters of people counting event	deepinview:19.5.1.9@p472
GET	/ISAPI/Intelligent/channels/{channelID}/capabilities	reference	anpr,deepinview	VCA	Get the intelligent capability of device	anpr:12.7.1.1@p387;deepinview:19.14.1.2@p843
GET	/ISAPI/Intelligent/channels/{channelID}/faceContrast	reference	deepinview,dvr-pro	Face Capture	Get the face picture comparison parameters.	deepinview:19.8.2.4@p653;dvr-pro:12.5.2.12@p242
PUT	/ISAPI/Intelligent/channels/{channelID}/faceContrast	reference	deepinview,dvr-pro	Face Capture	Set the face picture comparison parameters	deepinview:19.8.2.3@p651;dvr-pro:12.5.2.11@p240
GET	/ISAPI/Intelligent/channels/{channelID}/faceContrast/capabilities	reference	deepinview,dvr-pro	Face Capture	Get the face picture comparison capability	deepinview:19.8.2.5@p654;dvr-pro:12.5.2.13@p243
GET	/ISAPI/Intelligent/channels/{channelID}/faceRule	reference	deepinview	Face Capture	Get the face capture rule parameters of a device	deepinview:19.8.1.18@p621
PUT	/ISAPI/Intelligent/channels/{channelID}/faceRule	reference	deepinview	Face Capture	Set the face capture rule parameters of a device	deepinview:19.8.1.12@p616
GET	/ISAPI/Intelligent/channels/{channelID}/faceRule/capabilities	reference	deepinview	Face Capture	Get the capability of configuring parameters of face capture rules.	deepinview:19.8.1.13@p617
PUT	/ISAPI/Intelligent/channels/{channelID}/faceRule/multiScene/sceneMode	reference	deepinview	Face Capture	Set the scene mode parameters of multiple scenes for face capture	deepinview:19.8.1.14@p619
GET	/ISAPI/Intelligent/channels/{channelID}/faceRule/trigger	reference	deepinview	Face Capture	Get the trigger mode parameters of face capture	deepinview:19.8.1.17@p620
PUT	/ISAPI/Intelligent/channels/{channelID}/faceRule/trigger	reference	deepinview	Face Capture	Set the trigger mode parameters of face capture	deepinview:19.8.1.16@p620
GET	/ISAPI/Intelligent/channels/{channelID}/faceRule/trigger/capabilities	reference	deepinview	Face Capture	Get the trigger mode parameters capability of face capture	deepinview:19.8.1.15@p619
PUT	/ISAPI/Intelligent/channels/{channelID}/faceSnap/advancedParam	reference	deepinview	Face Capture	Set the advanced parameters of face capture	deepinview:19.8.1.20@p624
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/advancedParam/capabilities	reference	deepinview	Face Capture	Get the capability of configuring advanced parameters of face capture	deepinview:19.8.1.19@p622
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/overlapPic	reference	deepinview	Face Capture	Get the parameters of capturing face pictures and overlaying information on the captured face	deepinview:19.8.1.22@p628
PUT	/ISAPI/Intelligent/channels/{channelID}/faceSnap/overlapPic	reference	deepinview	Face Capture	Set the overlay and capture parameters for face capture	deepinview:19.8.1.23@p630
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/overlapPic/capabilities	reference	deepinview	Face Capture	Get the capability of configuring parameters for capturing face pictures and overlaying	deepinview:19.8.1.21@p625
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/picParam/capabilities	reference	deepinview	Face Capture	Get the capability of captured face picture display	deepinview:19.8.1.24@p631
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/privacyMask	reference	deepinview	Face Capture	Get the capability of privacy mask parameters of a specific channel	deepinview:19.8.1.27@p633
PUT	/ISAPI/Intelligent/channels/{channelID}/faceSnap/privacyMask	reference	deepinview	Face Capture	Set the privacy mask parameters of a specified channel	deepinview:19.8.1.26@p632
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/privacyMask/capabilities	reference	deepinview	Face Capture	Get the face picture privacy mask configuration capability of a specified channel	deepinview:19.8.1.25@p632
PUT	/ISAPI/Intelligent/channels/{channelID}/faceSnap/restoreAlgParam	reference	deepinview	Face Capture	Restore the face capture algorithm to defaults	deepinview:19.8.1.28@p633
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/shieldRegion	reference	deepinview	Face Capture	Get the shielded area parameters of face capture	deepinview:19.8.1.30@p634
PUT	/ISAPI/Intelligent/channels/{channelID}/faceSnap/shieldRegion	reference	deepinview	Face Capture	Set the shielded area parameters of face capture	deepinview:19.8.1.31@p635
GET	/ISAPI/Intelligent/channels/{channelID}/faceSnap/shieldRegion/capabilities	reference	deepinview	Face Capture	Get the capability of configuring shielded area of face capture	deepinview:19.8.1.29@p634
GET	/ISAPI/Intelligent/channels/{channelID}/intelliResource	reference	deepinview	Face Capture	Get the VCA resource parameters of face capture and recognition channel	deepinview:19.8.1.32@p635
PUT	/ISAPI/Intelligent/channels/{channelID}/intelliResource	reference	deepinview	Face Capture	Set the intelligent resource parameters of face capture channel	deepinview:19.8.1.33@p638
GET	/ISAPI/Intelligent/channels/{channelID}/intelliType	reference	deepinview	Face Capture	Get the VCA type parameters	deepinview:19.8.1.36@p641
PUT	/ISAPI/Intelligent/channels/{channelID}/intelliType	reference	deepinview	Face Capture	Set the VCA type parameters	deepinview:19.8.1.35@p640
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection	reference	deepinview	Multi-Target-Type Detection	Get single-scene mode parameters of multi-target-type detection	deepinview:19.12.2.15@p826
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection	reference	deepinview	Multi-Target-Type Detection	Set single-scene mode parameters of multi-target-type detection	deepinview:19.12.2.14@p825
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/algParam	reference	deepinview	Multi-Target-Type Detection	Get advanced parameters of multi-target-type detection algorithm library	deepinview:19.12.2.2@p814
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/algParam	reference	deepinview	Multi-Target-Type Detection	Set advanced parameters of multi-target-type detection algorithm library	deepinview:19.12.2.3@p816
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/algParam/capabilities	reference	deepinview	Multi-Target-Type Detection	Get advanced configuration capability of multi-target-type detection algorithm library	deepinview:19.12.2.1@p812
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/capabilities	reference	deepinview	Multi-Target-Type Detection	Get the rule parameters capability of frequently appeared person detection	deepinview:19.12.2.4@p817
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/capturePicOverlap	reference	deepinview	Multi-Target-Type Detection	Get the captured picture overlay parameters of multi-target-detection	deepinview:19.12.2.6@p820
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/capturePicOverlap	reference	deepinview	Multi-Target-Type Detection	Set the captured picture overlay parameters of multi-target-detection	deepinview:19.12.2.7@p820
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/capturePicOverlap/capabilities	reference	deepinview	Multi-Target-Type Detection	Get configuration capability of overlaying information on multi-target-type detection pictures	deepinview:19.12.2.5@p819
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/multiScene/sceneMode	reference	deepinview	Multi-Target-Type Detection	Get the parameters of multiple scene mode switching of multi-target-detection	deepinview:19.12.2.9@p822
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/multiScene/sceneMode	reference	deepinview	Multi-Target-Type Detection	Set the parameters of multiple scene mode switching of multi-target-detection	deepinview:19.12.2.8@p821
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/overlay	reference	deepinview	Multi-Target-Type Detection	Get OSD overlay configuration parameters for detecting mixed targets	deepinview:19.12.2.13@p824
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/overlay	reference	deepinview	Multi-Target-Type Detection	Set OSD overlay configuration parameters for detecting mixed targets	deepinview:19.12.2.12@p824
PUT	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/overlay/OSDReset	reference	deepinview	Multi-Target-Type Detection	Clear OSD calculation data of detecting mixed targets manually	deepinview:19.12.2.11@p823
GET	/ISAPI/Intelligent/channels/{channelID}/mixedTargetDetection/overlay/capabilities	reference	deepinview	Multi-Target-Type Detection	Get OSD overlay configuration capability for detecting mixed targets	deepinview:19.12.2.10@p822
GET	/ISAPI/Intelligent/channels/{channelID}/modeling	reference	deepinview	Face Capture	Get the face modeling parameters	deepinview:19.8.1.38@p642
PUT	/ISAPI/Intelligent/channels/{channelID}/modeling	reference	deepinview	Face Capture	Set the face modeling parameters	deepinview:19.8.1.39@p643
GET	/ISAPI/Intelligent/channels/{channelID}/modeling/capabilities	reference	deepinview	Face Capture	Get the face modeling configuration capability	deepinview:19.8.1.37@p641
GET	/ISAPI/Intelligent/channels/{channelID}/picInfoOverlap/capabilities	reference	deepinview	VCA	Get the capability of picture overlay parameters of smart event	deepinview:19.14.1.3@p845
GET	/ISAPI/Intelligent/channels/{channelID}/picInfoOverlap/faceSnap	reference	deepinview	Face Capture	Get the overlay parameters of captured face picture	deepinview:19.8.1.41@p644
PUT	/ISAPI/Intelligent/channels/{channelID}/picInfoOverlap/faceSnap	reference	deepinview	Face Capture	Set the overlay parameters of captured face picture	deepinview:19.8.1.40@p644
GET	/ISAPI/Intelligent/channels/{channelID}/recognitionDataUpload	reference	deepinview	Multi-Target-Type Detection	Get the uploading parameters of recognized target	deepinview:19.12.1.1@p811
PUT	/ISAPI/Intelligent/channels/{channelID}/recognitionDataUpload	reference	deepinview	Multi-Target-Type Detection	Set the uploading parameters of recognized target	deepinview:19.12.1.2@p812
PUT	/ISAPI/Intelligent/depthPerimeter/upgradeTrainModel/VersionOperation	narrative	anpr,deepinview	Narrative / Quick Start	3. Set the model version: PUT /ISAPI/Intelligent/depthPerimeter/upgradeTrainModel/VersionOperation?	anpr:@p82;deepinview:@p121
GET	/ISAPI/Intelligent/depthPerimeter/upgradeTrainModel/process	narrative	anpr,deepinview	Narrative / Quick Start	4. Get the model upgrade progress: GET /ISAPI/Intelligent/depthPerimeter/upgradeTrainModel/process?	anpr:@p82;deepinview:@p121
GET	/ISAPI/Intelligent/faceContrast/personInfoExtend	reference	deepinview	Face Capture	Get the parameters of person custom information	deepinview:19.8.3.1@p661
PUT	/ISAPI/Intelligent/faceContrast/personInfoExtend	reference	deepinview	Face Capture	Set the parameters of person custom information	deepinview:19.8.3.2@p661
GET	/ISAPI/Intelligent/faceContrast/personInfoExtend/capabilities	reference	deepinview,dvr-value	Face Capture	Get the capability of person custom information	deepinview:19.8.3.3@p662;dvr-value:12.5.2.1@p264
GET	/ISAPI/Intelligent/humanRecognition/capabilities	reference	dvr-pro	Human Body Recognition	Get the capability of detecting human bodies in the picture	dvr-pro:12.6.1.1@p253
GET	/ISAPI/Intelligent/intelliChannelList	reference	deepinview	VCA	Get the intelligent channel list	deepinview:19.14.1.4@p845
POST	/ISAPI/IoTGateway/Childmanage/SearchChild	narrative	anpr,deepinview,dvr-pro,dvr-value,ipc-value	Narrative / Quick Start	API POST /ISAPI/IoTGateway/Childmanage/SearchChild?format=json. Sub devices with the tag isUpgradable and	anpr:@p47;deepinview:@p61;dvr-pro:@p46;dvr-value:@p46;ipc-value:@p39
GET	/ISAPI/IoTGateway/Childmanage/capabilities	narrative	anpr,dvr-pro,dvr-value	Narrative / Quick Start		anpr:@p115;dvr-pro:@p117;dvr-value:@p123
GET	/ISAPI/OpenPlatform/capabilities	narrative	deepinview	Narrative / Quick Start	2. Get the HEOP capability supported by the device: GET /ISAPI/OpenPlatform/capabilities.	deepinview:@p51
DELETE	/ISAPI/OrgPreview/Channels/{channelID}/Server	reference	deepinview	Device (General)	Delete the third-party server information	deepinview:19.1.3.18@p178
GET	/ISAPI/OrgPreview/Channels/{channelID}/Server	reference	deepinview	Device (General)	Get the address and port No. of the third-party server	deepinview:19.1.3.20@p180
PUT	/ISAPI/OrgPreview/Channels/{channelID}/Server	reference	deepinview	Device (General)	Set address and port parameters of third-party server	deepinview:19.1.3.19@p179
GET	/ISAPI/PTZCtrl/capabilities	reference	anpr,deepinview	PTZ	Get the PTZ capability supported by the device	anpr:12.4.1.1@p217;deepinview:19.4.3.1@p454
PUT	/ISAPI/PTZCtrl/channels	reference	deepinview	PTZ	Set control parameter of all PTZ.	deepinview:19.4.3.2@p455
GET	/ISAPI/PTZCtrl/channels/{channelID}	reference	anpr,deepinview	PTZ	Get parameters of a specified PTZ channel	anpr:12.4.1.3@p219;deepinview:19.4.3.4@p458
PUT	/ISAPI/PTZCtrl/channels/{channelID}	reference	anpr,deepinview	PTZ	Set a specified PTZ channel's parameters	anpr:12.4.1.2@p217;deepinview:19.4.3.3@p457
GET	/ISAPI/PTZCtrl/channels/{channelID}/componentCtrl	reference	deepinview	PTZ	Get PTZ component control parameters of a specified channel	deepinview:19.4.3.7@p460
PUT	/ISAPI/PTZCtrl/channels/{channelID}/componentCtrl	reference	deepinview	PTZ	Set PTZ component control parameters of a specific channel	deepinview:19.4.3.6@p460
GET	/ISAPI/PTZCtrl/channels/{channelID}/componentCtrl/capabilities	reference	deepinview	PTZ	Get the PTZ component control capability of a specified channel	deepinview:19.4.3.5@p460
PUT	/ISAPI/PTZCtrl/channels/{channelID}/initializationCtrl	reference	deepinview	PTZ	Set the parameters for PTZ self-checking and control of a specific channel	deepinview:19.4.3.10@p462
GET	/ISAPI/PTZCtrl/channels/{channelID}/initializationCtrl/capabilities	reference	deepinview	PTZ	Get the PTZ self-checking and control capability	deepinview:19.4.3.8@p461
GET	/ISAPI/PTZCtrl/channels/{channelID}/initializationCtrl/status	reference	deepinview	PTZ	Get PTZ self-checking and control status	deepinview:19.4.3.9@p461
DELETE	/ISAPI/PTZCtrl/channels/{channelID}/patrols	reference	deepinview	PTZ	Delete all patrols by channel.	deepinview:19.4.1.1@p443
GET	/ISAPI/PTZCtrl/channels/{channelID}/patrols	reference	deepinview	PTZ	Get the parameters of all patrols of a specific channel	deepinview:19.4.1.3@p444
PUT	/ISAPI/PTZCtrl/channels/{channelID}/patrols	reference	deepinview	PTZ	Set parameters of all patrols for a specified channel	deepinview:19.4.1.2@p443
DELETE	/ISAPI/PTZCtrl/channels/{channelID}/patrols/{patrolID}	reference	deepinview	PTZ	Delete a patrol by channel	deepinview:19.4.1.5@p446
GET	/ISAPI/PTZCtrl/channels/{channelID}/patrols/{patrolID}	reference	deepinview	PTZ	Get patrol parameters of a specified channel	deepinview:19.4.1.4@p445
PUT	/ISAPI/PTZCtrl/channels/{channelID}/patrols/{patrolID}	reference	deepinview	PTZ	Set path parameters of a single patrol for a specified channel	deepinview:19.4.1.6@p447
PUT	/ISAPI/PTZCtrl/channels/{channelID}/patrols/{patrolID}/start	reference	deepinview	PTZ	Start calling a patrol by channel	deepinview:19.4.1.7@p447
PUT	/ISAPI/PTZCtrl/channels/{channelID}/patrols/{patrolID}/stop	reference	deepinview	PTZ	Stop calling a patrol by channel	deepinview:19.4.1.8@p448
DELETE	/ISAPI/PTZCtrl/channels/{channelID}/presets	reference	deepinview	PTZ	Delete all presets parameters	deepinview:19.4.1.10@p450
GET	/ISAPI/PTZCtrl/channels/{channelID}/presets	reference	deepinview	PTZ	Get all presets' parameters	deepinview:19.4.1.11@p450
PUT	/ISAPI/PTZCtrl/channels/{channelID}/presets	reference	deepinview	PTZ	Set all presets parameters	deepinview:19.4.1.9@p449
DELETE	/ISAPI/PTZCtrl/channels/{channelID}/presets/{presetID}	reference	deepinview	PTZ	Delete a preset	deepinview:19.4.1.14@p453
GET	/ISAPI/PTZCtrl/channels/{channelID}/presets/{presetID}	reference	deepinview	PTZ	Get the single PTZ control parameters	deepinview:19.4.1.12@p451
PUT	/ISAPI/PTZCtrl/channels/{channelID}/presets/{presetID}	reference	deepinview	PTZ	Set parameters of a preset	deepinview:19.4.1.13@p452
PUT	/ISAPI/PTZCtrl/channels/{channelID}/presets/{presetID}/goto	reference	deepinview	PTZ	Call a preset	deepinview:19.4.1.15@p453
GET	/ISAPI/PTZCtrl/channels/{channelID}/saveptzpoweroff	reference	deepinview	PTZ	Get the power-off memory parameters of a specific channel	deepinview:19.4.3.11@p462
PUT	/ISAPI/PTZCtrl/channels/{channelID}/saveptzpoweroff	reference	deepinview	PTZ	Set the power-off memory parameters of a specific channel	deepinview:19.4.3.12@p462
GET	/ISAPI/PTZCtrl/channels/{channelID}/status	reference	deepinview	PTZ	Get the PTZ status of a specific channel of the device	deepinview:19.4.2.1@p454
GET	/ISAPI/Parking/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the parking lot service capability	anpr:12.9.4.1@p424
GET	/ISAPI/Parking/channels/{channelID}/LCD	reference	anpr	Entrance & Exit Management and Control	Get the LCD (Liquid Crystal Display) parameters	anpr:12.9.2.7@p407
PUT	/ISAPI/Parking/channels/{channelID}/LCD	reference	anpr	Entrance & Exit Management and Control	Set the LCD (Liquid Crystal Display) parameters.	anpr:12.9.2.6@p404
GET	/ISAPI/Parking/channels/{channelID}/LCD/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the configuration capability of LCD (Liquid Crystal Display) parameters	anpr:12.9.2.1@p398
DELETE	/ISAPI/Parking/channels/{channelID}/LCD/mediaData	reference	anpr	Entrance & Exit Management and Control	Delete all LCD (Liquid Crystal Display) media data	anpr:12.9.2.5@p404
GET	/ISAPI/Parking/channels/{channelID}/LCD/mediaData	reference	anpr	Entrance & Exit Management and Control	Get all LCD (Liquid Crystal Display) media data	anpr:12.9.2.4@p403
DELETE	/ISAPI/Parking/channels/{channelID}/LCD/mediaData/{FileID}	reference	anpr	Entrance & Exit Management and Control	Delete a piece of LCD (Liquid Crystal Display) media data	anpr:12.9.2.3@p403
GET	/ISAPI/Parking/channels/{channelID}/LCD/mediaData/{FileID}	reference	anpr	Entrance & Exit Management and Control	Get a piece of LCD (Liquid Crystal Display) media data	anpr:12.9.2.2@p402
GET	/ISAPI/Parking/channels/{channelID}/LEDConfigurations/multiScene/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the capability of configuring the parameters for displaying a specified scene on the LED screen	anpr:12.9.2.10@p413
GET	/ISAPI/Parking/channels/{channelID}/LEDConfigurations/multiScene/{SID}	reference	anpr	Entrance & Exit Management and Control	Get the parameters for displaying a specified scene on the LED screen	anpr:12.9.2.9@p412
PUT	/ISAPI/Parking/channels/{channelID}/LEDConfigurations/multiScene/{SID}	reference	anpr	Entrance & Exit Management and Control	Set the parameters for displaying a specified scene on the LED screen	anpr:12.9.2.8@p410
PUT	/ISAPI/Parking/channels/{channelID}/barrierGate	reference	anpr	Entrance & Exit Management and Control	Set the barrier gate control parameters supported by the device to open, close, lock or unlock the	anpr:12.9.3.1@p423
GET	/ISAPI/Parking/channels/{channelID}/barrierGate/barrierGateStatus	reference	anpr	Entrance & Exit Management and Control	Get the entrance/exit barrier gate status	anpr:12.9.3.2@p423
GET	/ISAPI/Parking/channels/{channelID}/barrierGate/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the capability of controlling the barrier gate	anpr:12.9.3.3@p424
GET	/ISAPI/Parking/channels/{channelID}/packingSpaceRecognition	reference	anpr	Parking Space Detection	Get parking space detection parameters	anpr:12.10.3.1@p444
GET	/ISAPI/Parking/channels/{channelID}/parkingStatus	reference	anpr	Parking Space Detection	Get parking space status information	anpr:12.10.3.2@p444
GET	/ISAPI/Parking/channels/{channelID}/voiceBroadcastInfo/combinateBroadcast	reference	anpr	Entrance & Exit Management and Control	Get the parameters of combined voice broadcast	anpr:12.9.4.4@p429
PUT	/ISAPI/Parking/channels/{channelID}/voiceBroadcastInfo/combinateBroadcast	reference	anpr	Entrance & Exit Management and Control	Set the parameters of combined voice broadcast	anpr:12.9.4.3@p427
GET	/ISAPI/Parking/channels/{channelID}/voiceBroadcastInfo/combinateBroadcast/capabilities	reference	anpr	Entrance & Exit Management and Control	Get the capability of configuring the parameters of combined voice broadcasts	anpr:12.9.4.2@p425
POST	/ISAPI/Parking/packingSpaceRecognition/search	reference	anpr	Parking Space Detection	Search for parking space detection events	anpr:12.10.3.3@p446
GET	/ISAPI/Parking/parkingSpace/indicatorLamp	reference	anpr	Parking Space Detection	Get parameters of parking space indicator	anpr:12.10.1.2@p441
PUT	/ISAPI/Parking/parkingSpace/indicatorLamp	reference	anpr	Parking Space Detection	Set parameters of parking space indicator	anpr:12.10.1.1@p440
GET	/ISAPI/Parking/server/deviceManagement/led	reference	anpr	Entrance & Exit Management and Control	Get screen parameters	anpr:12.9.2.13@p419
